source_file,source_kind,level_name,scope,owner_kind,owner_name,owner_id,definition_id,preset_name,script_name,raw_parameters,parsed_parameters,script_declaration_source,warnings
C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Renegade\Modding Support\Single Player Level Source Files\M03.LVL,LevelSource,Single Player Level Source Files,level-node,Zone Node,Script_Zone_Star.1300001,1300001,519,,DLS_Volcano_Active,"6000,6600,0,0.0,1.00,5.00,11.00,18.00,0",Receive_Type=6000:int; Receive_Param=6600:int; Volcano_Timer_Id=0:int; Volcano_Delay=0.0:float; Explosion_Delay_Min=1.00:float; Explosion_Delay_Max=5.00:float; Rumble_Delay_Min=11.00:float; Rumble_Delay_Max=18.00:float; Debug_Mode=0:int,Code\Scripts\Mission03.cpp:5371,
C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Renegade\Modding Support\Single Player Level Source Files\M03.LVL,LevelSource,Single Player Level Source Files,level-node,Object Node,Nod_FlameThrower_0.1144500,1144500,81930138,,DLS_Volcano_Stumble,0,Debug_Mode=0:int,Code\Scripts\Mission03.cpp:5542,
C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Renegade\Modding Support\Single Player Level Source Files\M03.LVL,LevelSource,Single Player Level Source Files,level-node,Object Node,Nod_FlameThrower_0.300032,300032,81930138,,DLS_Volcano_Stumble,0,Debug_Mode=0:int,Code\Scripts\Mission03.cpp:5542,
C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Renegade\Modding Support\Single Player Level Source Files\M03.LVL,LevelSource,Single Player Level Source Files,level-node,Object Node,Nod_FlameThrower_1Off.1144653,1144653,81930136,,DLS_Volcano_Stumble,0,Debug_Mode=0:int,Code\Scripts\Mission03.cpp:5542,
C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Renegade\Modding Support\Single Player Level Source Files\M03.LVL,LevelSource,Single Player Level Source Files,level-node,Object Node,Nod_FlameThrower_1Off.1144715,1144715,81930136,,DLS_Volcano_Stumble,0,Debug_Mode=0:int,Code\Scripts\Mission03.cpp:5542,
C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Renegade\Modding Support\Single Player Level Source Files\M03.LVL,LevelSource,Single Player Level Source Files,level-node,Object Node,Nod_MiniGunner_0.1144672,1144672,81930140,,DLS_Volcano_Stumble,0,Debug_Mode=0:int,Code\Scripts\Mission03.cpp:5542,
C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Renegade\Modding Support\Single Player Level Source Files\M03.LVL,LevelSource,Single Player Level Source Files,level-node,Object Node,Nod_MiniGunner_0.1144673,1144673,81930140,,DLS_Volcano_Stumble,0,Debug_Mode=0:int,Code\Scripts\Mission03.cpp:5542,
C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Renegade\Modding Support\Single Player Level Source Files\M03.LVL,LevelSource,Single Player Level Source Files,level-node,Object Node,Nod_MiniGunner_0.1144711,1144711,81930140,,DLS_Volcano_Stumble,0,Debug_Mode=0:int,Code\Scripts\Mission03.cpp:5542,
C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Renegade\Modding Support\Single Player Level Source Files\M03.LVL,LevelSource,Single Player Level Source Files,level-node,Object Node,Nod_MiniGunner_0.1144713,1144713,81930140,,DLS_Volcano_Stumble,0,Debug_Mode=0:int,Code\Scripts\Mission03.cpp:5542,
C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Renegade\Modding Support\Single Player Level Source Files\M03.LVL,LevelSource,Single Player Level Source Files,level-node,Object Node,Nod_MiniGunner_0.1144714,1144714,81930140,,DLS_Volcano_Stumble,0,Debug_Mode=0:int,Code\Scripts\Mission03.cpp:5542,
